retrieval_type,filter_type,prompt_type,generator_type,total_time,trial_number
chroma,percentile_cutoff,long_text_reorder,openai,9.888973474502563,0
bm25,none,fstring,ollama,23.951040267944336,1
chroma,percentile_cutoff,fstring,ollama,33.36628842353821,2
bm25,percentile_cutoff,fstring,openai,7.291438341140747,3
bm25,percentile_cutoff,fstring,ollama,22.367709636688232,4
bm25,threshold_cutoff,long_text_reorder,ollama,29.046361684799194,5
bm25,percentile_cutoff,long_text_reorder,openai,8.649345397949219,6
bm25,percentile_cutoff,fstring,openai,7.228360414505005,7
bm25,percentile_cutoff,fstring,ollama,23.20428967475891,8
bm25,none,fstring,openai,7.843317985534668,9
chroma,threshold_cutoff,long_text_reorder,openai,8.434438228607178,10
bm25,percentile_cutoff,fstring,openai,7.296411991119385,11
bm25,percentile_cutoff,fstring,openai,6.162968158721924,12
bm25,threshold_cutoff,fstring,openai,9.172691345214844,13
chroma,none,fstring,openai,6.364896297454834,14
chroma,none,fstring,openai,6.512306451797485,15
chroma,none,fstring,openai,6.345018148422241,16
chroma,none,fstring,openai,7.653417110443115,17
chroma,none,long_text_reorder,openai,8.832082033157349,18
chroma,none,fstring,openai,9.171118021011353,19
chroma,threshold_cutoff,fstring,openai,9.869510889053345,20
chroma,none,fstring,openai,7.418665170669556,21
chroma,none,fstring,openai,7.164692640304565,22
chroma,none,fstring,openai,7.255521297454834,23
